caldt,vwretd,vwretx,totval
19480131,-0.037908,-0.039685,57712665.30
19480228,-0.043422,-0.049502,54814210.50
19480331,0.082628,0.076865,59197575.90
19480430,0.038128,0.035972,61466980.10
19480528,0.074319,0.068382,65705104.80
19480630,-0.000280,-0.005419,65379874.80
19480730,-0.050288,-0.051750,61917670.80
19480831,0.003762,-0.002900,61768642.90
19480930,-0.029813,-0.035123,59651125.00
19481030,0.060316,0.057425,63079798.30
19481130,-0.092077,-0.102565,56644518.40
19481231,0.032566,0.024024,58301258.20
19490131,0.003074,0.001118,58472474.50
19490228,-0.028852,-0.036237,56507502.40
19490331,0.041537,0.035339,58559914.80
19490430,-0.017972,-0.020566,57516447.10
19490531,-0.028488,-0.035515,55568472.90
19490630,0.002180,-0.004382,55347129.80
19490729,0.056377,0.054776,58511144.00
19490831,0.026916,0.018887,59665079.90
19490930,0.032082,0.027265,61622369.60
19491031,0.031801,0.030002,63446520.80
19491130,0.018535,0.004549,63869080.00
19491231,0.052267,0.044769,67344403.40
19500131,0.017764,0.015872,68546982.00
19500228,0.015234,0.008173,69166503.10
19500331,0.012742,0.007457,70025751.80
19500429,0.040678,0.038736,72768915.40
19500531,0.044173,0.036817,75787265.90
19500630,-0.058018,-0.062799,71044150.40
19500731,0.016122,0.014577,72227888.40
19500831,0.050875,0.040213,75228994.40
19500929,0.049044,0.044122,78695005.80
19501031,-0.001184,-0.002931,78547971.90
19501130,0.029056,0.012268,79529141.10
19501230,0.057946,0.051048,84833973.90
19510131,0.058735,0.056761,89821367.90
19510228,0.014086,0.007435,90671487.80
19510331,-0.021115,-0.025753,88759457.70
19510430,0.050061,0.048488,93183088.60
19510531,-0.022464,-0.029970,90515704.10
19510629,-0.025533,-0.029834,88262493.90
19510731,0.071611,0.070243,94482895.50
19510831,0.045004,0.036750,97941440.00
19510928,0.009087,0.005339,98477508.70
19511031,-0.022629,-0.024556,96107802.90
19511130,0.006193,-0.004035,95971264.40
19511231,0.035266,0.030241,100725150.00
19520131,0.017002,0.015420,102408916.00
19520229,-0.025141,-0.032328,99137901.30
19520331,0.045870,0.041726,103564260.00
19520430,-0.049148,-0.050847,98363134.40
19520529,0.032847,0.025367,100960672.00
19520630,0.039575,0.035588,104657381.00
19520731,0.011404,0.009897,105764722.00
19520829,-0.006733,-0.013803,104261698.00
19520930,-0.019147,-0.023065,102115737.00
19521031,-0.005309,-0.006960,101316166.00
19521128,0.059347,0.049762,106401986.00
19521231,0.031066,0.026399,111187860.00
19530130,-0.001644,-0.002728,110941958.00
19530227,-0.001820,-0.009109,110010868.00
19530331,-0.012862,-0.016681,108145450.00
19530430,-0.027705,-0.029126,105230314.00
19530529,0.006921,-0.000349,105398651.00
19530630,-0.016377,-0.020523,103306735.00
19530731,0.025111,0.023557,105740183.00
19530831,-0.044056,-0.051365,100318016.00
19530930,0.003010,-0.001313,100220875.00
19531030,0.047523,0.045928,104727877.00
19531130,0.028501,0.018445,106874579.00
19531231,0.000678,-0.004642,108286194.00
19540129,0.052722,0.051500,113895704.00
19540226,0.017551,0.010325,115084497.00
19540331,0.037377,0.033374,118925885.00
19540430,0.043162,0.041819,124094615.00
19540528,0.031704,0.025208,127191814.00
19540630,0.011560,0.007767,128253185.00
19540730,0.050668,0.049442,134623576.00
19540831,-0.022763,-0.029369,130583965.00
19540930,0.064633,0.061381,138686714.00
19541029,-0.016216,-0.017622,136199557.00
19541130,0.095387,0.086046,147831943.00
19541231,0.055469,0.051806,159614395.00
19550131,0.006838,0.006027,160540962.00
19550228,0.031354,0.025725,165072868.00
19550331,-0.000995,-0.004256,164337718.00
19550429,0.032352,0.031343,169583268.00
19550531,0.012033,0.006450,170483988.00
19550630,0.066108,0.063181,181601452.00
19550729,0.020246,0.019366,185125300.00
19550831,0.004197,-0.001579,185100170.00
19550930,-0.002009,-0.004543,184129796.00
19551031,-0.025752,-0.026812,178920742.00
19551130,0.071864,0.062697,190520413.00
19551230,0.016543,0.013390,197213978.00
19560131,-0.028119,-0.029475,191445948.00
19560229,0.039610,0.034439,198171160.00
19560329,0.068456,0.065641,212017665.00
19560430,0.005083,0.004136,212910643.00
