% From WRDS.  Avg bid/ask yld on 1 mo bills
% 
% QDATE       CRSPID_1         AVE_1
%
640630    19640730.400000     3.411
640731    19640831.400000     3.259
640831    19640930.400000     3.264
640930    19641031.400000     3.523
641030    19641130.400000     3.427
641130    19641231.400000     3.574
641231    19650131.400000     3.427
650129    19650228.400000     3.884
650226    19650331.400000     3.849
650331    19650430.400000     3.788
650429    19650531.400000     3.859
650528    19650630.400000     3.732
650630    19650731.400000     3.783
650730    19650831.400000     3.768
650831    19650930.400000     3.783
650930    19651031.400000     3.986
651029    19651130.400000     3.849
651130    19651230.400000     3.798
651231    19660131.400000     4.266
660131    19660303.400000     4.531
660228    19660331.400000     4.459
660331    19660430.400000     4.418
660429    19660531.400000     4.602
660531    19660630.400000     4.459
660630    19660731.400000     4.520
660729    19660831.400000     4.546
660831    19660930.400000     4.724
660930    19661031.400000     5.157
661031    19661130.400000     4.775
661130    19661231.400000     4.266
661230    19670131.400000     4.470
670131    19670302.400000     4.546
670228    19670330.400000     4.485
670331    19670430.400000     4.062
670428    19670531.400000     3.453
670531    19670630.400000     3.249
670630    19670731.400000     3.707
670731    19670831.400000     3.808
670831    19670930.400000     3.859
670929    19671031.400000     4.154
671031    19671130.400000     4.149
671130    19671231.400000     4.190
671229    19680131.400000     4.343
680131    19680307.400000     4.807
680229    19680331.400000     4.673
680329    19680430.400000     4.852
680430    19680531.400000     5.488
680531    19680630.400000     5.386
680628    19680731.400000     5.285
680731    19680831.400000     5.259
680830    19680930.400000     4.938
680930    19681031.400000     5.162
681031    19681130.400000     5.411
681129    19681231.400000     4.836
681231    19690130.400000     6.099
690131    19690306.400000     5.999
690228    19690331.400000     5.641
690328    19690430.400000     5.361
690430    19690531.400000     6.125
690529    19690630.400000     5.845
690630    19690731.400000     6.481
690731    19690831.400000     6.915
690829    19690930.400000     6.660
690930    19691030.400000     6.945
691031    19691130.400000     6.685
691128    19691231.400000     6.447
691231    19700131.400000     6.787
700130    19700305.400000     7.728
700227    19700331.400000     6.303
700331    19700430.400000     6.415
700430    19700531.400000     6.512
700529    19700630.400000     6.309
700630    19700730.400000     5.930
700731    19700831.400000     5.895
700831    19700930.400000     6.109
700930    19701031.400000     5.819
701030    19701130.400000     5.274
701130    19701231.400000     4.449
701231    19710131.400000     4.439
710129    19710228.400000     4.062
710226    19710331.400000     3.229
710331    19710430.400000     3.406
710430    19710531.400000     3.676
710528    19710630.400000     3.870
710630    19710731.400000     5.019
710730    19710831.400000     5.060
710831    19710930.400000     4.408
710930    19711031.400000     4.531
711029    19711130.400000     3.992
711130    19711230.400000     3.828
711231    19720131.400000     3.351
720131    19720302.400000     3.127
720229    19720330.400000     3.147
720330    19720430.400000     3.483
720428    19720531.400000     3.249
720531    19720630.400000     3.401
720630    19720731.400000     3.625
720731    19720831.400000     3.513
720831    19720930.400000     4.307
720929    19721031.400000     4.429
721031    19721130.400000     4.541
721130    19721231.400000     4.917
721229    19730131.400000     4.867
730131    19730308.400000     5.571
730228    19730331.400000     5.579
730330    19730430.400000     5.875
730430    19730531.400000     5.987
730531    19730630.400000     6.527
730629    19730731.400000     7.436
730731    19730830.400000     8.312
730831    19731004.400000     8.581
730928    19731101.400000     7.335
731031    19731206.400000     6.928
731130    19740103.400000     7.447
731231    19740131.400000     7.364
740131    19740307.400000     7.550
740228    19740404.400000     7.377
740329    19740502.400000     8.500
740430    19740530.400000     8.771
740531    19740702.400000     7.834
740628    19740730.400000     7.681
740731    19740905.400000     7.715
740830    19741003.400000     9.215
740930    19741031.400000     6.170
741031    19741205.400000     6.672
741129    19750102.400000     7.498
741231    19750130.400000     6.537
750131    19750306.400000     5.540
750228    19750403.400000     4.756
750331    19750501.400000     5.274
750430    19750603.400000     5.214
750530    19750630.400000     4.856
750630    19750731.400000     5.651
750731    19750904.400000     6.030
750829    19751002.400000     5.968
750930    19751030.400000     6.292
751031    19751204.400000     5.316
751128    19760102.400000     5.184
751231    19760131.400000     5.172
760130    19760304.400000     4.521
760227    19760401.400000     4.654
760331    19760504.400000     4.756
760430    19760601.400000     4.694
760528    19760629.400000     5.060
760630    19760805.400000     5.296
760730    19760902.400000     5.081
760831    19760930.400000     4.764
760930    19761104.400000     5.082
761029    19761202.400000     4.756
761130    19761230.400000     4.347
761231    19770203.400000     4.257
770131    19770303.400000     4.551
770228    19770331.400000     4.429
770331    19770503.400000     4.541
770429    19770531.400000     4.388
770531    19770628.400000     4.835
770630    19770804.400000     4.949
770729    19770901.400000     5.346
770831    19771006.400000     5.378
770930    19771103.400000     5.815
771031    19771201.400000     5.824
771130    19780105.400000     5.694
771230    19780202.400000     5.754
780131    19780302.400000     5.997
780228    19780330.400000     6.088
780331    19780502.400000     6.497
780428    19780530.400000     6.049
780531    19780706.400000     6.510
780630    19780803.400000     6.560
780731    19780831.400000     6.517
780831    19781005.400000     7.601
780929    19781102.400000     8.019
781031    19781130.400000     8.536
781130    19790104.400000     9.063
781229    19790201.400000     8.428
790131    19790306.400000     9.522
790228    19790403.400000     9.542
790330    19790501.400000     9.642
790430    19790531.400000     9.569
790531    19790705.400000     9.687
790629    19790802.400000     8.990
790731    19790830.400000     9.098
790831    19791004.400000    10.054
790928    19791101.400000    10.279
791031    19791206.400000    11.717
791130    19800103.400000    10.904
791231    19800131.400000     9.344
800131    19800304.400000    11.722
800229    19800401.400000    13.616
800331    19800501.400000    15.051
800430    19800605.400000     9.238
800530    19800703.400000     7.182
800630    19800731.400000     6.201
800731    19800904.400000     7.499
800829    19801002.400000     9.297
800930    19801030.400000    10.795
801030    19801204.400000    11.367
801128    19810102.400000    14.652
801231    19810205.400000    12.528
810130    19810305.400000    13.919
810227    19810402.400000    14.032
810331    19810430.400000    13.017
810430    19810604.400000    13.819
810529    19810702.400000    16.150
810630    19810730.400000    14.411
810731    19810903.400000    14.957
810831    19811001.400000    14.968
810930    19811105.400000    13.997
811030    19811203.400000    12.718
811130    19811231.400000    10.244
811231    19820204.400000     9.636
820129    19820304.400000    11.929
820226    19820401.400000    11.826
820331    19820506.400000    13.421
820430    19820603.400000    12.236
820528    19820701.400000    11.437
820630    19820805.400000    11.779
820730    19820902.400000     8.919
820831    19820930.400000     6.211
820930    19821104.400000     7.019
821029    19821202.400000     7.703
821130    19821230.400000     7.628
821231    19830203.400000     8.060
830131    19830303.400000     8.037
830228    19830331.400000     7.425
830331    19830505.400000     8.572
830429    19830602.400000     8.111
830531    19830630.400000     8.077
830630    19830804.400000     8.695
830729    19830901.400000     8.919
830831    19831006.400000     9.146
830930    19831103.400000     8.755
831031    19831201.400000     8.446
831130    19840105.400000     8.502
831230    19840202.400000     8.643
840131    19840301.400000     8.884
840229    19840405.400000     8.890
840330    19840503.400000     9.553
840430    19840531.400000     9.263
840531    19840705.400000     9.359
840629    19840802.400000     9.358
840731    19840830.400000     9.650
840831    19841004.400000    10.719
840928    19841101.400000    10.433
841031    19841206.400000     8.604
841130    19850103.400000     7.407
841231    19850131.400000     7.598
850131    19850307.400000     7.652
850228    19850404.400000     7.714
850329    19850502.400000     8.091
850430    19850530.400000     7.353
850531    19850705.400000     7.030
850628    19850801.400000     6.631
850731    19850905.400000     7.061
850830    19851003.400000     7.070
850930    19851031.400000     7.068
851031    19851205.400000     7.173
851129    19860102.400000     6.570
851231    19860130.400000     5.905
860131    19860306.400000     6.784
860228    19860403.400000     6.947
860331    19860501.400000     6.272
860430    19860605.400000     5.898
860530    19860703.400000     6.152
860630    19860731.400000     5.885
860731    19860904.400000     5.632
860829    19861002.400000     5.122
860930    19861030.400000     5.111
861031    19861204.400000     5.122
861128    19870102.400000     4.960
861231    19870205.400000     5.113
870130    19870305.400000     5.581
870227    19870402.400000     5.367
870331    19870430.400000     5.202
870430    19870604.400000     4.858
870529    19870702.400000     5.387
870630    19870730.400000     4.927
870731    19870903.400000     5.601
870831    19871001.400000     5.661
870930    19871105.400000     6.500
871030    19871203.400000     4.023
871130    19871231.400000     3.513
871231    19880204.400000     3.687
880129    19880303.400000     5.285
880229    19880331.400000     5.172
880331    19880505.400000     5.734
880429    19880602.400000     5.754
880531    19880630.400000     5.864
880630    19880804.400000     6.540
880729    19880901.400000     6.376
880831    19881006.400000     7.204
880930    19881103.400000     7.090
881031    19881201.400000     6.741
