DATE,A794RX0Q048SBEA
1967/1/1,12876
1967/4/1,13019
1967/7/1,13049
1967/10/1,13092
1968/1/1,13374
1968/4/1,13547
1968/7/1,13764
1968/10/1,13790
1969/1/1,13915
1969/4/1,13972
1969/7/1,14001
1969/10/1,14071
1970/1/1,14123
1970/4/1,14144
1970/7/1,14220
1970/10/1,14132
1971/1/1,14359
1971/4/1,14449
1971/7/1,14519
1971/10/1,14715
1972/1/1,14874
1972/4/1,15122
1972/7/1,15316
1972/10/1,15634
1973/1/1,15885
1973/4/1,15843
1973/7/1,15860
1973/10/1,15775
1974/1/1,15605
1974/4/1,15627
1974/7/1,15651
1974/10/1,15382
1975/1/1,15479
1975/4/1,15700
1975/7/1,15877
1975/10/1,16004
1976/1/1,16289
1976/4/1,16404
1976/7/1,16536
1976/10/1,16707
1977/1/1,16859
1977/4/1,16911
1977/7/1,17025
1977/10/1,17232
1978/1/1,17291
1978/4/1,17616
1978/7/1,17638
1978/10/1,17727
1979/1/1,17772
1979/4/1,17715
1979/7/1,17836
1979/10/1,17828
1980/1/1,17751
1980/4/1,17303
1980/7/1,17437
1980/10/1,17620
1981/1/1,17677
1981/4/1,17634
1981/7/1,17657
1981/10/1,17479
1982/1/1,17557
1982/4/1,17583
1982/7/1,17674
1982/10/1,17952
1983/1/1,18090
1983/4/1,18410
1983/7/1,18687
1983/10/1,18937
1984/1/1,19061
1984/4/1,19294
1984/7/1,19395
1984/10/1,19604
1985/1/1,19900
1985/4/1,20044
1985/7/1,20377
1985/10/1,20378
1986/1/1,20510
1986/4/1,20696
1986/7/1,21019
1986/10/1,21103
1987/1/1,21065
1987/4/1,21312
1987/7/1,21506
1987/10/1,21498
1988/1/1,21837
1988/4/1,21951
1988/7/1,22081
1988/10/1,22278
1989/1/1,22336
1989/4/1,22391
1989/7/1,22551
1989/10/1,22589
1990/1/1,22731
1990/4/1,22732
1990/7/1,22743
1990/10/1,22491
1991/1/1,22345
1991/4/1,22461
1991/7/1,22490
1991/10/1,22407
1992/1/1,22761
1992/4/1,22840
1992/7/1,23003
1992/10/1,23196
1993/1/1,23216
1993/4/1,23353
1993/7/1,23531
1993/10/1,23663
1994/1/1,23871
1994/4/1,23985
1994/7/1,24093
1994/10/1,24278
1995/1/1,24277
1995/4/1,24426
1995/7/1,24571
1995/10/1,24667
1996/1/1,24834
1996/4/1,25033
1996/7/1,25102
1996/10/1,25218
1997/1/1,25417
1997/4/1,25460
1997/7/1,25810
1997/10/1,26035
1998/1/1,26236
1998/4/1,26626
1998/7/1,26893
1998/10/1,27206
1999/1/1,27395
1999/4/1,27725
1999/7/1,27951
1999/10/1,28276
2000/1/1,28634
2000/4/1,28837
2000/7/1,29039
2000/10/1,29220
2001/1/1,29276
2001/4/1,29282
2001/7/1,29313
2001/10/1,29685
2002/1/1,29709
2002/4/1,29795
2002/7/1,29927
2002/10/1,30014
2003/1/1,30084
2003/4/1,30351
2003/7/1,30722
2003/10/1,30887
2004/1/1,31127
2004/4/1,31261
2004/7/1,31481
2004/10/1,31725
2005/1/1,31900
2005/4/1,32178
2005/7/1,32345
2005/10/1,32386
2006/1/1,32677
2006/4/1,32777
2006/7/1,32884
2006/10/1,33134
2007/1/1,33235
2007/4/1,33273
2007/7/1,33335
2007/10/1,33292
2008/1/1,33150
2008/4/1,33134
2008/7/1,32814
2008/10/1,32344
2009/1/1,32167
2009/4/1,31957
2009/7/1,32076
2009/10/1,31999
2010/1/1,32106
2010/4/1,32308
2010/7/1,32451
2010/10/1,32717
2011/1/1,32826
2011/4/1,32836
2011/7/1,32913
2011/10/1,32959
2012/1/1,33104
2012/4/1,33105
2012/7/1,33128
2012/10/1,33156
2013/1/1,33263
2013/4/1,33280
2013/7/1,33370
2013/10/1,33585
2014/1/1,33690
2014/4/1,33920
2014/7/1,34181
2014/10/1,34536
2015/1/1,34793
2015/4/1,34995
2015/7/1,35167
2015/10/1,35333
2016/1/1,35438
2016/4/1,35713
2016/7/1,35894
2016/10/1,36087
2017/1/1,36205
2017/4/1,36439
