This file was created by CMPT_ME_BEME_RETS using the 201710 CRSP database.,
The 1-month TBill return is from Ibbotson and Associates, Inc.
,
,Mkt-RF
196701,8.15
196702,0.78
196703,3.99
196704,3.89
196705,-4.33
196706,2.41
196707,4.58
196708,-0.89
196709,3.11
196710,-3.09
196711,0.37
196712,3.05
196801,-4.06
196802,-3.75
196803,0.2
196804,9.05
196805,2.28
196806,0.69
196807,-2.72
196808,1.34
196809,4.03
196810,0.42
196811,5.43
196812,-3.94
196901,-1.25
196902,-5.84
196903,2.64
196904,1.46
196905,-0.1
196906,-7.18
196907,-7
196908,4.68
196909,-2.98
196910,5.06
196911,-3.79
196912,-2.63
197001,-8.1
197002,5.13
197003,-1.06
197004,-11
197005,-6.92
197006,-5.79
197007,6.93
197008,4.49
197009,4.18
197010,-2.28
197011,4.59
197012,5.72
197101,4.84
197102,1.41
197103,4.13
197104,3.15
197105,-3.98
197106,-0.1
197107,-4.5
197108,3.79
197109,-0.85
197110,-4.42
197111,-0.46
197112,8.71
197201,2.49
197202,2.87
197203,0.63
197204,0.29
197205,1.25
197206,-2.43
197207,-0.8
197208,3.26
197209,-1.14
197210,0.52
197211,4.6
197212,0.62
197301,-3.29
197302,-4.85
197303,-1.29
197304,-5.68
197305,-2.94
197306,-1.56
197307,5.04
197308,-3.84
197309,4.75
197310,-0.86
197311,-12.74
197312,0.58
197401,-0.17
197402,-0.48
197403,-2.81
197404,-5.29
197405,-4.67
197406,-2.83
197407,-8.05
197408,-9.35
197409,-11.77
197410,16.1
197411,-4.51
197412,-3.45
197501,13.66
197502,5.56
197503,2.66
197504,4.23
197505,5.19
197506,4.83
197507,-6.59
197508,-2.85
197509,-4.26
197510,5.31
197511,2.65
197512,-1.6
197601,12.16
197602,0.32
197603,2.33
197604,-1.49
197605,-1.34
197606,4.05
197607,-1.07
197608,-0.56
197609,2.06
197610,-2.42
197611,0.36
197612,5.65
197701,-4.05
197702,-1.95
197703,-1.37
197704,0.15
197705,-1.46
197706,4.71
197707,-1.69
197708,-1.75
197709,-0.27
197710,-4.38
197711,4
197712,0.27
197801,-6.01
197802,-1.38
197803,2.85
197804,7.88
197805,1.76
197806,-1.69
197807,5.11
197808,3.75
197809,-1.43
197810,-11.91
197811,2.71
197812,0.88
197901,4.23
197902,-3.56
197903,5.68
197904,-0.06
197905,-2.21
197906,3.85
197907,0.82
197908,5.53
197909,-0.82
197910,-8.1
