DATE,INDPRO
1999-01-01,90.1893
1999-02-01,90.6683
1999-03-01,90.8310
1999-04-01,91.0632
1999-05-01,91.7311
1999-06-01,91.5818
1999-07-01,92.1587
1999-08-01,92.5363
1999-09-01,92.1699
1999-10-01,93.3786
1999-11-01,93.8240
1999-12-01,94.5441
2000-01-01,94.5458
2000-02-01,94.8185
2000-03-01,95.1983
2000-04-01,95.8921
2000-05-01,96.0691
2000-06-01,96.1568
2000-07-01,96.0239
2000-08-01,95.7182
2000-09-01,96.1105
2000-10-01,95.8225
2000-11-01,95.8391
2000-12-01,95.5791
2001-01-01,94.9499
2001-02-01,94.3690
2001-03-01,94.1259
2001-04-01,93.9061
2001-05-01,93.2803
2001-06-01,92.7057
2001-07-01,92.1721
2001-08-01,92.0023
2001-09-01,91.6795
2001-10-01,91.2682
2001-11-01,90.7894
2001-12-01,90.8311
2002-01-01,91.3471
2002-02-01,91.3672
2002-03-01,92.1054
2002-04-01,92.4790
2002-05-01,92.8824
2002-06-01,93.7637
2002-07-01,93.5461
2002-08-01,93.5765
2002-09-01,93.7116
2002-10-01,93.4006
2002-11-01,93.8758
2002-12-01,93.4191
2003-01-01,93.9571
2003-02-01,94.2558
2003-03-01,94.0416
2003-04-01,93.3666
2003-05-01,93.3852
2003-06-01,93.5219
2003-07-01,93.9144
2003-08-01,93.7371
2003-09-01,94.3262
2003-10-01,94.4442
2003-11-01,95.2224
2003-12-01,95.1545
2004-01-01,95.3434
2004-02-01,95.9228
2004-03-01,95.4538
2004-04-01,95.8653
2004-05-01,96.6472
2004-06-01,95.8588
2004-07-01,96.5901
2004-08-01,96.6687
2004-09-01,96.7450
2004-10-01,97.6604
2004-11-01,97.8427
2004-12-01,98.5495
2005-01-01,99.0020
2005-02-01,99.6741
2005-03-01,99.5181
2005-04-01,99.6518
2005-05-01,99.8158
2005-06-01,100.2232
2005-07-01,99.8997
2005-08-01,100.1025
2005-09-01,98.2644
2005-10-01,99.4949
2005-11-01,100.5129
2005-12-01,101.1118
2006-01-01,101.2313
2006-02-01,101.2755
2006-03-01,101.4651
2006-04-01,101.9012
2006-05-01,101.7589
2006-06-01,102.1304
2006-07-01,102.0989
2006-08-01,102.4526
2006-09-01,102.2753
2006-10-01,102.2299
2006-11-01,102.1419
2006-12-01,103.2191
2007-01-01,102.7129
2007-02-01,103.7659
2007-03-01,103.9538
2007-04-01,104.7077
2007-05-01,104.7507
2007-06-01,104.7581
2007-07-01,104.7111
2007-08-01,104.9122
2007-09-01,105.2764
2007-10-01,104.7720
2007-11-01,105.3295
2007-12-01,105.3213
2008-01-01,105.0195
2008-02-01,104.6741
2008-03-01,104.4179
2008-04-01,103.6403
2008-05-01,103.1178
2008-06-01,102.9484
2008-07-01,102.4071
2008-08-01,100.8875
2008-09-01,96.5439
2008-10-01,97.4562
2008-11-01,96.2593
2008-12-01,93.4434
