DATE,UNRATE
1999-01-01,4.3
1999-02-01,4.4
1999-03-01,4.2
1999-04-01,4.3
1999-05-01,4.2
1999-06-01,4.3
1999-07-01,4.3
1999-08-01,4.2
1999-09-01,4.2
1999-10-01,4.1
1999-11-01,4.1
1999-12-01,4.0
2000-01-01,4.0
2000-02-01,4.1
2000-03-01,4.0
2000-04-01,3.8
2000-05-01,4.0
2000-06-01,4.0
2000-07-01,4.0
2000-08-01,4.1
2000-09-01,3.9
2000-10-01,3.9
2000-11-01,3.9
2000-12-01,3.9
2001-01-01,4.2
2001-02-01,4.2
2001-03-01,4.3
2001-04-01,4.4
2001-05-01,4.3
2001-06-01,4.5
2001-07-01,4.6
2001-08-01,4.9
2001-09-01,5.0
2001-10-01,5.3
2001-11-01,5.5
2001-12-01,5.7
2002-01-01,5.7
2002-02-01,5.7
2002-03-01,5.7
2002-04-01,5.9
2002-05-01,5.8
2002-06-01,5.8
2002-07-01,5.8
2002-08-01,5.7
2002-09-01,5.7
2002-10-01,5.7
2002-11-01,5.9
2002-12-01,6.0
2003-01-01,5.8
2003-02-01,5.9
2003-03-01,5.9
2003-04-01,6.0
2003-05-01,6.1
2003-06-01,6.3
2003-07-01,6.2
2003-08-01,6.1
2003-09-01,6.1
2003-10-01,6.0
2003-11-01,5.8
2003-12-01,5.7
2004-01-01,5.7
2004-02-01,5.6
2004-03-01,5.8
2004-04-01,5.6
2004-05-01,5.6
2004-06-01,5.6
2004-07-01,5.5
2004-08-01,5.4
2004-09-01,5.4
2004-10-01,5.5
2004-11-01,5.4
2004-12-01,5.4
2005-01-01,5.3
2005-02-01,5.4
2005-03-01,5.2
2005-04-01,5.2
2005-05-01,5.1
2005-06-01,5.0
2005-07-01,5.0
2005-08-01,4.9
2005-09-01,5.0
2005-10-01,5.0
2005-11-01,5.0
2005-12-01,4.9
2006-01-01,4.7
2006-02-01,4.8
2006-03-01,4.7
2006-04-01,4.7
2006-05-01,4.6
2006-06-01,4.6
2006-07-01,4.7
2006-08-01,4.7
2006-09-01,4.5
2006-10-01,4.4
2006-11-01,4.5
2006-12-01,4.4
2007-01-01,4.6
2007-02-01,4.5
2007-03-01,4.4
2007-04-01,4.5
2007-05-01,4.4
2007-06-01,4.6
2007-07-01,4.7
2007-08-01,4.6
2007-09-01,4.7
2007-10-01,4.7
2007-11-01,4.7
2007-12-01,5.0
2008-01-01,5.0
2008-02-01,4.9
2008-03-01,5.1
2008-04-01,5.0
2008-05-01,5.4
2008-06-01,5.6
2008-07-01,5.8
2008-08-01,6.1
2008-09-01,6.1
2008-10-01,6.5
2008-11-01,6.8
2008-12-01,7.3
