DATE,CE16OV
1999-01-01,133027
1999-02-01,132856
1999-03-01,132947
1999-04-01,132955
1999-05-01,133311
1999-06-01,133378
1999-07-01,133414
1999-08-01,133591
1999-09-01,133707
1999-10-01,133993
1999-11-01,134309
1999-12-01,134523
2000-01-01,136559
2000-02-01,136598
2000-03-01,136701
2000-04-01,137270
2000-05-01,136630
2000-06-01,136940
2000-07-01,136531
2000-08-01,136662
2000-09-01,136893
2000-10-01,137088
2000-11-01,137322
2000-12-01,137614
2001-01-01,137778
2001-02-01,137612
2001-03-01,137783
2001-04-01,137299
2001-05-01,137092
2001-06-01,136873
2001-07-01,137071
2001-08-01,136241
2001-09-01,136846
2001-10-01,136392
2001-11-01,136238
2001-12-01,136047
2002-01-01,135701
2002-02-01,136438
2002-03-01,136177
2002-04-01,136126
2002-05-01,136539
2002-06-01,136415
2002-07-01,136413
2002-08-01,136705
2002-09-01,137302
2002-10-01,137008
2002-11-01,136521
2002-12-01,136426
2003-01-01,137417
2003-02-01,137482
2003-03-01,137434
2003-04-01,137633
2003-05-01,137544
2003-06-01,137790
2003-07-01,137474
2003-08-01,137549
2003-09-01,137609
2003-10-01,137984
2003-11-01,138424
2003-12-01,138411
2004-01-01,138472
2004-02-01,138542
2004-03-01,138453
2004-04-01,138680
2004-05-01,138852
2004-06-01,139174
2004-07-01,139556
2004-08-01,139573
2004-09-01,139487
2004-10-01,139732
2004-11-01,140231
2004-12-01,140125
2005-01-01,140245
2005-02-01,140385
2005-03-01,140654
2005-04-01,141254
2005-05-01,141609
2005-06-01,141714
2005-07-01,142026
2005-08-01,142434
2005-09-01,142401
2005-10-01,142548
2005-11-01,142499
2005-12-01,142752
2006-01-01,143150
2006-02-01,143457
2006-03-01,143741
2006-04-01,143761
2006-05-01,144089
2006-06-01,144353
2006-07-01,144202
2006-08-01,144625
2006-09-01,144815
2006-10-01,145314
2006-11-01,145534
2006-12-01,145970
2007-01-01,146028
2007-02-01,146057
2007-03-01,146320
2007-04-01,145586
2007-05-01,145903
2007-06-01,146063
2007-07-01,145905
2007-08-01,145682
2007-09-01,146244
2007-10-01,145946
2007-11-01,146595
2007-12-01,146273
2008-01-01,146378
2008-02-01,146156
2008-03-01,146086
2008-04-01,146132
2008-05-01,145908
2008-06-01,145737
2008-07-01,145532
2008-08-01,145203
2008-09-01,145076
2008-10-01,144802
2008-11-01,144100
2008-12-01,143369
