DATE,LNU02000000
2000-01-01,134912
2000-02-01,135490
2000-03-01,136054
2000-04-01,136927
2000-05-01,136685
2000-06-01,137915
2000-07-01,137769
2000-08-01,137308
2000-09-01,136790
2000-10-01,137532
2000-11-01,137461
2000-12-01,137846
2001-01-01,136181
2001-02-01,136577
2001-03-01,137155
2001-04-01,137022
2001-05-01,137121
2001-06-01,137737
2001-07-01,138239
2001-08-01,136809
2001-09-01,136835
2001-10-01,136885
2001-11-01,136370
2001-12-01,136269
2002-01-01,134177
2002-02-01,135443
2002-03-01,135558
2002-04-01,135903
2002-05-01,136559
2002-06-01,137181
2002-07-01,137495
2002-08-01,137295
2002-09-01,137377
2002-10-01,137551
2002-11-01,136684
2002-12-01,136599
2003-01-01,135907
2003-02-01,136433
2003-03-01,136783
2003-04-01,137424
2003-05-01,137567
2003-06-01,138468
2003-07-01,138503
2003-08-01,138137
2003-09-01,137731
2003-10-01,138619
2003-11-01,138700
2003-12-01,138556
2004-01-01,136924
2004-02-01,137384
2004-03-01,137691
2004-04-01,138423
2004-05-01,138867
2004-06-01,139861
2004-07-01,140700
2004-08-01,140226
2004-09-01,139641
2004-10-01,140447
2004-11-01,140581
2004-12-01,140278
2005-01-01,138682
2005-02-01,139100
2005-03-01,139759
2005-04-01,140939
2005-05-01,141591
2005-06-01,142456
2005-07-01,143283
2005-08-01,143142
2005-09-01,142579
2005-10-01,143340
2005-11-01,142968
2005-12-01,142918
2006-01-01,141481
2006-02-01,141994
2006-03-01,142772
2006-04-01,143405
2006-05-01,144041
2006-06-01,145216
2006-07-01,145606
2006-08-01,145379
2006-09-01,145010
2006-10-01,146125
2006-11-01,146014
2006-12-01,146081
2007-01-01,144275
2007-02-01,144479
2007-03-01,145323
2007-04-01,145297
2007-05-01,145864
2007-06-01,146958
2007-07-01,147315
2007-08-01,146406
2007-09-01,146448
2007-10-01,146743
2007-11-01,147118
2007-12-01,146334
2008-01-01,144607
2008-02-01,144550
2008-03-01,145108
2008-04-01,145921
2008-05-01,145927
2008-06-01,146649
2008-07-01,146867
2008-08-01,145909
2008-09-01,145310
2008-10-01,145543
2008-11-01,144609
2008-12-01,143350
