DATE,GS5
2000/1/1,6.58
2000/2/1,6.68
2000/3/1,6.5
2000/4/1,6.26
2000/5/1,6.69
2000/6/1,6.3
2000/7/1,6.18
2000/8/1,6.06
2000/9/1,5.93
2000/10/1,5.78
2000/11/1,5.7
2000/12/1,5.17
2001/1/1,4.86
2001/2/1,4.89
2001/3/1,4.64
2001/4/1,4.76
2001/5/1,4.93
2001/6/1,4.81
2001/7/1,4.76
2001/8/1,4.57
2001/9/1,4.12
2001/10/1,3.91
2001/11/1,3.97
2001/12/1,4.39
2002/1/1,4.34
2002/2/1,4.3
2002/3/1,4.74
2002/4/1,4.65
2002/5/1,4.49
2002/6/1,4.19
2002/7/1,3.81
2002/8/1,3.29
2002/9/1,2.94
2002/10/1,2.95
2002/11/1,3.05
2002/12/1,3.03
2003/1/1,3.05
2003/2/1,2.9
2003/3/1,2.78
2003/4/1,2.93
2003/5/1,2.52
2003/6/1,2.27
2003/7/1,2.87
2003/8/1,3.37
2003/9/1,3.18
2003/10/1,3.19
2003/11/1,3.29
2003/12/1,3.27
2004/1/1,3.12
2004/2/1,3.07
2004/3/1,2.79
2004/4/1,3.39
2004/5/1,3.85
2004/6/1,3.93
2004/7/1,3.69
2004/8/1,3.47
2004/9/1,3.36
2004/10/1,3.35
2004/11/1,3.53
2004/12/1,3.6
2005/1/1,3.71
2005/2/1,3.77
2005/3/1,4.17
2005/4/1,4
2005/5/1,3.85
2005/6/1,3.77
2005/7/1,3.98
2005/8/1,4.12
2005/9/1,4.01
2005/10/1,4.33
2005/11/1,4.45
2005/12/1,4.39
2006/1/1,4.35
2006/2/1,4.57
2006/3/1,4.72
2006/4/1,4.9
2006/5/1,5
2006/6/1,5.07
2006/7/1,5.04
2006/8/1,4.82
2006/9/1,4.67
2006/10/1,4.69
2006/11/1,4.58
2006/12/1,4.53
2007/1/1,4.75
2007/2/1,4.71
2007/3/1,4.48
2007/4/1,4.59
2007/5/1,4.67
2007/6/1,5.03
2007/7/1,4.88
2007/8/1,4.43
2007/9/1,4.2
2007/10/1,4.2
2007/11/1,3.67
2007/12/1,3.49
2008/1/1,2.98
2008/2/1,2.78
2008/3/1,2.48
2008/4/1,2.84
2008/5/1,3.15
2008/6/1,3.49
2008/7/1,3.3
2008/8/1,3.14
2008/9/1,2.88
2008/10/1,2.73
2008/11/1,2.29
2008/12/1,1.52
